<burst #, pair #> T1, T2, T3, T4
<burst 2, pair 1> e5cfb1c3.f2b020c4, e5cfb1c4.0f9db22d, e5cfb1c4.0fdf3b64, e5cfb1c4.0f9db22d
<burst 2, pair 2> e5cfb1c4.13333333, e5cfb1c4.30a3d70a, e5cfb1c4.30a3d70a, e5cfb1c4.30a3d70a
<burst 2, pair 3> e5cfb1c4.3ced9168, e5cfb1c4.59db22d0, e5cfb1c4.59db22d0, e5cfb1c4.59db22d0
<burst 2, pair 4> e5cfb1c4.6b851eb8, e5cfb1c4.87ef9db2, e5cfb1c4.87ef9db2, e5cfb1c4.87ef9db2
<burst 2, pair 5> e5cfb1c4.85e353f7, e5cfb1c4.a20c49ba, e5cfb1c4.a24dd2f1, e5cfb1c4.a20c49ba
<burst 2, pair 6> e5cfb1c4.97ced916, e5cfb1c4.b3b645a1, e5cfb1c4.b3b645a1, e5cfb1c4.b3b645a1
<burst 2, pair 7> e5cfb1c4.aa3d70a3, e5cfb1c4.c6a7ef9d, e5cfb1c4.c6e978d4, e5cfb1c4.c6a7ef9d
<burst 3, pair 0> e5cfb23c.c3958106, e5cfb23c.e0c49ba5, e5cfb23c.e10624dd, e5cfb23c.e0c49ba5
<burst 3, pair 1> e5cfb23c.e83126e9, e5cfb23d.045a1cac, e5cfb23d.049ba5e3, e5cfb23d.045a1cac
<burst 3, pair 2> e5cfb23d.0c083126, e5cfb23d.28f5c28f, e5cfb23d.28f5c28f, e5cfb23d.28f5c28f
<burst 3, pair 3> e5cfb23d.32f1a9fb, e5cfb23d.5374bc6a, e5cfb23d.5374bc6a, e5cfb23d.5374bc6a
<burst 3, pair 4> e5cfb23d.59999999, e5cfb23d.774bc6a7, e5cfb23d.778d4fdf, e5cfb23d.774bc6a7
<burst 3, pair 5> e5cfb23d.81cac083, e5cfb23d.9ef9db22, e5cfb23d.9f3b645a, e5cfb23d.9ef9db22
<burst 3, pair 6> e5cfb23d.a28f5c28, e5cfb23d.c083126e, e5cfb23d.c083126e, e5cfb23d.c083126e
<burst 3, pair 7> e5cfb23d.bba5e353, e5cfb23d.d9581062, e5cfb23d.d9581062, e5cfb23d.d9581062
<burst 4, pair 0> e5cfb2b5.d4fdf3b6, e5cfb2b5.f2f1a9fb, e5cfb2b5.f3333333, e5cfb2b5.f2f1a9fb
<burst 4, pair 1> e5cfb2b5.fa5e353f, e5cfb2b6.178d4fdf, e5cfb2b6.178d4fdf, e5cfb2b6.178d4fdf
<burst 4, pair 2> e5cfb2b6.276c8b43, e5cfb2b6.43958106, e5cfb2b6.43958106, e5cfb2b6.43958106
<burst 4, pair 3> e5cfb2b6.47ef9db2, e5cfb2b6.65e353f7, e5cfb2b6.65e353f7, e5cfb2b6.65e353f7
<burst 4, pair 4> e5cfb2b6.683126e9, e5cfb2b6.86a7ef9d, e5cfb2b6.86a7ef9d, e5cfb2b6.86a7ef9d
<burst 4, pair 5> e5cfb2b6.7e76c8b4, e5cfb2b6.9d2f1a9f, e5cfb2b6.9d70a3d7, e5cfb2b6.9d2f1a9f
<burst 4, pair 6> e5cfb2b6.a0418937, e5cfb2b6.bdb22d0e, e5cfb2b6.bdb22d0e, e5cfb2b6.bdb22d0e
<burst 4, pair 7> e5cfb2b6.cb439581, e5cfb2b6.e7ef9db2, e5cfb2b6.e83126e9, e5cfb2b6.e7ef9db2
<burst 5, pair 0> e5cfb32e.edd2f1a9, e5cfb32f.0b851eb8, e5cfb32f.0bc6a7ef, e5cfb32f.0b851eb8
<burst 5, pair 1> e5cfb32f.16c8b439, e5cfb32f.3374bc6a, e5cfb32f.3374bc6a, e5cfb32f.3374bc6a
<burst 5, pair 2> e5cfb32f.26666666, e5cfb32f.445a1cac, e5cfb32f.449ba5e3, e5cfb32f.445a1cac
<burst 5, pair 3> e5cfb32f.37ced916, e5cfb32f.54fdf3b6, e5cfb32f.553f7ced, e5cfb32f.54fdf3b6
<burst 5, pair 4> e5cfb32f.46e978d4, e5cfb32f.63958106, e5cfb32f.63d70a3d, e5cfb32f.63958106
<burst 5, pair 5> e5cfb32f.54bc6a7e, e5cfb32f.71a9fbe7, e5cfb32f.71eb851e, e5cfb32f.71a9fbe7
<burst 5, pair 6> e5cfb32f.6ccccccc, e5cfb32f.8bc6a7ef, e5cfb32f.8c083126, e5cfb32f.8bc6a7ef
<burst 5, pair 7> e5cfb32f.922d0e56, e5cfb32f.b020c49b, e5cfb32f.b020c49b, e5cfb32f.b020c49b
<burst 6, pair 0> e5cfb3a7.bc6a7ef9, e5cfb3a7.da5e353f, e5cfb3a7.da5e353f, e5cfb3a7.da5e353f
<burst 6, pair 1> e5cfb3a7.e0418937, e5cfb3a7.fdb22d0e, e5cfb3a7.fdf3b645, e5cfb3a7.fdb22d0e
<burst 6, pair 2> e5cfb3a7.f7ced916, e5cfb3a8.14bc6a7e, e5cfb3a8.14bc6a7e, e5cfb3a8.14bc6a7e
<burst 6, pair 3> e5cfb3a8.0a7ef9db, e5cfb3a8.29ba5e35, e5cfb3a8.29ba5e35, e5cfb3a8.29ba5e35
<burst 6, pair 4> e5cfb3a8.1db22d0e, e5cfb3a8.3a9fbe76, e5cfb3a8.3ae147ae, e5cfb3a8.3a9fbe76
<burst 6, pair 5> e5cfb3a8.3b645a1c, e5cfb3a8.59db22d0, e5cfb3a8.59db22d0, e5cfb3a8.59db22d0
<burst 6, pair 6> e5cfb3a8.66666666, e5cfb3a8.84dd2f1a, e5cfb3a8.84dd2f1a, e5cfb3a8.84dd2f1a
<burst 6, pair 7> e5cfb3a8.93333333, e5cfb3a8.b0a3d70a, e5cfb3a8.b0a3d70a, e5cfb3a8.b0a3d70a
<burst 7, pair 0> e5cfb420.ba9fbe76, e5cfb420.d9999999, e5cfb420.d9999999, e5cfb420.d9999999
<burst 7, pair 1> e5cfb420.dc6a7ef9, e5cfb420.fa5e353f, e5cfb420.fa5e353f, e5cfb420.fa5e353f
<burst 7, pair 2> e5cfb420.ff7ced91, e5cfb421.1db22d0e, e5cfb421.1db22d0e, e5cfb421.1db22d0e
<burst 7, pair 3> e5cfb421.210624dd, e5cfb421.3eb851eb, e5cfb421.3eb851eb, e5cfb421.3eb851eb
<burst 7, pair 4> e5cfb421.420c49ba, e5cfb421.60000000, e5cfb421.60000000, e5cfb421.60000000
<burst 7, pair 5> e5cfb421.651eb851, e5cfb421.83958106, e5cfb421.83958106, e5cfb421.83958106
<burst 7, pair 6> e5cfb421.872b020c, e5cfb421.a45a1cac, e5cfb421.a45a1cac, e5cfb421.a45a1cac
<burst 7, pair 7> e5cfb421.a3d70a3d, e5cfb421.c20c49ba, e5cfb421.c20c49ba, e5cfb421.c20c49ba
<burst 8, pair 0> e5cfb499.c76c8b43, e5cfb499.e5a1cac0, e5cfb499.e5a1cac0, e5cfb499.e5a1cac0
<burst 8, pair 1> e5cfb499.f0e56041, e5cfb49a.10a3d70a, e5cfb49a.10e56041, e5cfb49a.10a3d70a
