<burst #, pair #> T1, T2, T3, T4
<burst 10, pair 4> e5cf952e.347ae147, e5cf952e.370a3d70, e5cf952e.370a3d70, e5cf952e.370a3d70
<burst 10, pair 5> e5cf952e.39db22d0, e5cf952e.3c6a7ef9, e5cf952e.3cac0831, e5cf952e.3c6a7ef9
<burst 10, pair 6> e5cf952e.3f3b645a, e5cf952e.41cac083, e5cf952e.41cac083, e5cf952e.41cac083
<burst 10, pair 7> e5cf952e.445a1cac, e5cf952e.46e978d4, e5cf952e.472b020c, e5cf952e.46e978d4
<burst 11, pair 0> e5cf95a6.49ba5e35, e5cf95a6.4c49ba5e, e5cf95a6.4c49ba5e, e5cf95a6.4c49ba5e
<burst 11, pair 1> e5cf95a6.4f1a9fbe, e5cf95a6.516872b0, e5cf95a6.516872b0, e5cf95a6.516872b0
<burst 11, pair 2> e5cf95a6.53f7ced9, e5cf95a6.5645a1ca, e5cf95a6.5645a1ca, e5cf95a6.5645a1ca
<burst 11, pair 3> e5cf95a6.58d4fdf3, e5cf95a6.5b22d0e5, e5cf95a6.5b22d0e5, e5cf95a6.5b22d0e5
<burst 11, pair 4> e5cf95a6.5db22d0e, e5cf95a6.60000000, e5cf95a6.60000000, e5cf95a6.60000000
<burst 11, pair 5> e5cf95a6.628f5c28, e5cf95a6.64dd2f1a, e5cf95a6.64dd2f1a, e5cf95a6.64dd2f1a
<burst 11, pair 6> e5cf95a6.67ae147a, e5cf95a6.69fbe76c, e5cf95a6.6a3d70a3, e5cf95a6.69fbe76c
<burst 11, pair 7> e5cf95a6.6ccccccc, e5cf95a6.6f1a9fbe, e5cf95a6.6f1a9fbe, e5cf95a6.6f1a9fbe
<burst 12, pair 0> e5cf961e.71eb851e, e5cf961e.74bc6a7e, e5cf961e.74bc6a7e, e5cf961e.74bc6a7e
<burst 12, pair 1> e5cf961e.774bc6a7, e5cf961e.79db22d0, e5cf961e.79db22d0, e5cf961e.79db22d0
<burst 12, pair 2> e5cf961e.7cac0831, e5cf961e.7ef9db22, e5cf961e.7f3b645a, e5cf961e.7ef9db22
<burst 12, pair 3> e5cf961e.8189374b, e5cf961e.84189374, e5cf961e.84189374, e5cf961e.84189374
<burst 12, pair 4> e5cf961e.86a7ef9d, e5cf961e.89374bc6, e5cf961e.89374bc6, e5cf961e.89374bc6
<burst 12, pair 5> e5cf961e.8bc6a7ef, e5cf961e.8e147ae1, e5cf961e.8e147ae1, e5cf961e.8e147ae1
<burst 12, pair 6> e5cf961e.916872b0, e5cf961e.93b645a1, e5cf961e.93b645a1, e5cf961e.93b645a1
<burst 12, pair 7> e5cf961e.9645a1ca, e5cf961e.98d4fdf3, e5cf961e.98d4fdf3, e5cf961e.98d4fdf3
<burst 13, pair 0> e5cf9696.9ba5e353, e5cf9696.9e353f7c, e5cf9696.9e353f7c, e5cf9696.9e353f7c
<burst 13, pair 1> e5cf9696.a10624dd, e5cf9696.a353f7ce, e5cf9696.a3958106, e5cf9696.a353f7ce
<burst 13, pair 2> e5cf9696.a5e353f7, e5cf9696.a872b020, e5cf9696.a872b020, e5cf9696.a872b020
<burst 13, pair 3> e5cf9696.ab020c49, e5cf9696.ad4fdf3b, e5cf9696.ad4fdf3b, e5cf9696.ad4fdf3b
<burst 13, pair 4> e5cf9696.afdf3b64, e5cf9696.b26e978d, e5cf9696.b26e978d, e5cf9696.b26e978d
<burst 13, pair 5> e5cf9696.b4fdf3b6, e5cf9696.b78d4fdf, e5cf9696.b78d4fdf, e5cf9696.b78d4fdf
<burst 13, pair 6> e5cf9696.ba1cac08, e5cf9696.bc6a7ef9, e5cf9696.bc6a7ef9, e5cf9696.bc6a7ef9
<burst 13, pair 7> e5cf9696.bef9db22, e5cf9696.c189374b, e5cf9696.c189374b, e5cf9696.c189374b
<burst 14, pair 0> e5cf970e.c4189374, e5cf970e.c6a7ef9d, e5cf970e.c6e978d4, e5cf970e.c6a7ef9d
<burst 14, pair 1> e5cf970e.c9ba5e35, e5cf970e.cc49ba5e, e5cf970e.cc49ba5e, e5cf970e.cc49ba5e
<burst 14, pair 2> e5cf970e.cf1a9fbe, e5cf970e.d16872b0, e5cf970e.d1a9fbe7, e5cf970e.d16872b0
<burst 14, pair 3> e5cf970e.d4395810, e5cf970e.d6c8b439, e5cf970e.d6c8b439, e5cf970e.d6c8b439
<burst 14, pair 4> e5cf970e.d9999999, e5cf970e.dc28f5c2, e5cf970e.dc28f5c2, e5cf970e.dc28f5c2
<burst 14, pair 5> e5cf970e.deb851eb, e5cf970e.e147ae14, e5cf970e.e147ae14, e5cf970e.e147ae14
<burst 14, pair 6> e5cf970e.e4189374, e5cf970e.e6a7ef9d, e5cf970e.e6a7ef9d, e5cf970e.e6a7ef9d
<burst 14, pair 7> e5cf970e.e9ba5e35, e5cf970e.ec49ba5e, e5cf970e.ec49ba5e, e5cf970e.ec49ba5e
