<burst #, pair #> T1, T2, T3, T4
<burst 2, pair 0> e5cf90f2.13333333, e5cf90f2.2afb7dfe, e5cf90f2.2afbddd0, e5cf90af.b4f20f46
<burst 2, pair 1> e5cf90f2.249ba5e3, e5cf90f2.3a190f1b, e5cf90f2.3a197511, e5cf90af.b4f20f46
<burst 2, pair 2> e5cf90f2.33b645a1, e5cf90f2.490146fe, e5cf90f2.4901a918, e5cf90af.b4f20f46
<burst 2, pair 3> e5cf90f2.428f5c28, e5cf90f2.57e55fd3, e5cf90f2.57e5d852, e5cf90af.b4f20f46
<burst 2, pair 4> e5cf90f2.516872b0, e5cf90f2.675e4d77, e5cf90f2.675eb20d, e5cf90af.b4f20f46
<burst 2, pair 5> e5cf90f2.6147ae14, e5cf90f2.769c32b5, e5cf90f2.769ca85d, e5cf90af.b4f20f46
<burst 2, pair 6> e5cf90f2.70a3d70a, e5cf90f2.86036c96, e5cf90f2.8603f4b7, e5cf90af.b4f20f46
<burst 2, pair 7> e5cf90f2.7f7ced91, e5cf90f2.950cd3a6, e5cf90f2.950d43cc, e5cf90af.b4f20f46
<burst 3, pair 0> e5cf916a.916872b0, e5cf916a.a6e339ca, e5cf916a.a6e3f2b7, e5cf90af.b4f20f46
<burst 3, pair 1> e5cf916a.a10624dd, e5cf916a.b60a4afb, e5cf916a.b60b04bd, e5cf90af.b4f20f46
<burst 3, pair 2> e5cf916a.afdf3b64, e5cf916a.c528aa79, e5cf916a.c5292369, e5cf90af.b4f20f46
<burst 3, pair 3> e5cf916a.bef9db22, e5cf916a.d40a6948, e5cf916a.d40b0ef5, e5cf90af.b4f20f46
<burst 3, pair 4> e5cf916a.ce147ae1, e5cf916a.e3fdd272, e5cf916a.e3fe5b83, e5cf90af.b4f20f46
<burst 3, pair 5> e5cf916a.ddf3b645, e5cf916a.f3326688, e5cf916a.f332eac1, e5cf90af.b4f20f46
<burst 3, pair 6> e5cf916a.ed4fdf3b, e5cf916b.02888695, e5cf916b.0289116a, e5cf90af.b4f20f46
<burst 3, pair 7> e5cf916a.fc6a7ef9, e5cf916b.115ffa3a, e5cf916b.11607319, e5cf90af.b4f20f46
<burst 4, pair 0> e5cf91e3.0dd2f1a9, e5cf91e3.239c8cf7, e5cf91e3.239d4b78, e5cf90af.b4f20f46
<burst 4, pair 1> e5cf91e3.1df3b645, e5cf91e3.3313bb17, e5cf91e3.331430f6, e5cf90af.b4f20f46
<burst 4, pair 2> e5cf91e3.2d0e5604, e5cf91e3.41ee92e3, e5cf91e3.41ef0d4c, e5cf90af.b4f20f46
<burst 4, pair 3> e5cf91e3.3be76c8b, e5cf91e3.50f48179, e5cf91e3.50f50977, e5cf90af.b4f20f46
<burst 4, pair 4> e5cf91e3.4b020c49, e5cf91e3.5fe50c33, e5cf91e3.5fe5d840, e5cf90af.b4f20f46
<burst 4, pair 5> e5cf91e3.5a9fbe76, e5cf91e3.6f41febb, e5cf91e3.6f42ca4f, e5cf90af.b4f20f46
<burst 4, pair 6> e5cf91e3.69ba5e35, e5cf91e3.7fc260e8, e5cf91e3.7fc2c83f, e5cf90af.b4f20f46
<burst 4, pair 7> e5cf91e3.79db22d0, e5cf91e3.8f06cd61, e5cf91e3.8f078b3f, e5cf90af.b4f20f46
<burst 5, pair 0> e5cf925b.8b851eb8, e5cf925b.a0fbb2b1, e5cf925b.a0fc2dcc, e5cf9230.b4495f0a
<burst 5, pair 1> e5cf925b.9b645a1c, e5cf925b.b0cbaa62, e5cf925b.b0cc4674, e5cf9230.b4495f0a
<burst 5, pair 2> e5cf925b.ab439581, e5cf925b.bfbdad5c, e5cf925b.bfbe2fdc, e5cf9230.b4495f0a
<burst 5, pair 3> e5cf925b.ba5e353f, e5cf925b.cef41538, e5cf925b.cef49add, e5cf9230.b4495f0a
<burst 5, pair 4> e5cf925b.ce147ae1, e5cf925b.e3396af5, e5cf925b.e339fd90, e5cf9230.b4495f0a
<burst 5, pair 5> e5cf925b.de353f7c, e5cf925b.f2faf11b, e5cf925b.f2fb6d3c, e5cf9230.b4495f0a
<burst 5, pair 6> e5cf925b.ed4fdf3b, e5cf925c.04a0e1cd, e5cf925c.04a156dd, e5cf9230.b4495f0a
<burst 5, pair 7> e5cf925b.fef9db22, e5cf925c.13c51058, e5cf925c.13c5b8b9, e5cf9230.b4495f0a
<burst 6, pair 0> e5cf92d4.11eb851e, e5cf92d4.27a3870e, e5cf92d4.27a3fbfe, e5cf9230.b4495f0a
<burst 6, pair 1> e5cf92d4.224dd2f1, e5cf92d4.379d0699, e5cf92d4.379d7ac9, e5cf9230.b4495f0a
<burst 6, pair 2> e5cf92d4.322d0e56, e5cf92d4.47331b6e, e5cf92d4.47337519, e5cf9230.b4495f0a
<burst 6, pair 3> e5cf92d4.41cac083, e5cf92d4.5696b1c2, e5cf92d4.56976b37, e5cf9230.b4495f0a
<burst 6, pair 4> e5cf92d4.5126e978, e5cf92d4.67661c7f, e5cf92d4.6766a4b8, e5cf9230.b4495f0a
<burst 6, pair 5> e5cf92d4.624dd2f1, e5cf92d4.77189655, e5cf92d4.7718fb2a, e5cf9230.b4495f0a
<burst 6, pair 6> e5cf92d4.716872b0, e5cf92d4.86263721, e5cf92d4.862704d6, e5cf9230.b4495f0a
<burst 6, pair 7> e5cf92d4.80418937, e5cf92d4.958aa157, e5cf92d4.958b4a8f, e5cf9230.b4495f0a
<burst 7, pair 0> e5cf934c.916872b0, e5cf934c.a6e9cbde, e5cf934c.a6e9fc7d, e5cf9230.b4495f0a
<burst 7, pair 1> e5cf934c.a6a7ef9d, e5cf934c.bb305ae3, e5cf934c.bb3107cb, e5cf9230.b4495f0a
